CNPJ_Fundo;Data_Referencia;Versao;Data_Entrega;Nome_Fundo;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Total_Numero_Cotistas;Valor_Ativo;Patrimonio_Liquido;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes
00.332.266/0001-31;01/01/2022;1;15/02/2022;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;24/11/1994;INVESTIDORES EM GERAL;BRFVPQCTF015;2800149;N;N;Renda;Shoppings;Passiva;Indeterminado;2947760.34;74934.79;0;4511;561929944.4;554879108.67;1,98161E+14;0.000129;0.002201;-0.003031;0.005232
00.332.266/0001-31;01/02/2022;1;15/03/2022;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;24/11/1994;INVESTIDORES EM GERAL;BRFVPQCTF015;2800149;N;N;Renda;Shoppings;Passiva;Indeterminado;2052891.93;121749.16;0;4494;561300539.33;555145637.12;1,98256E+13;0.000213;0.004113;0.00048;0.003633
00.332.266/0001-31;01/03/2022;2;26/04/2022;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;24/11/1994;INVESTIDORES EM GERAL;BRFVPQCTF015;2800149;N;N;Renda;Shoppings;Passiva;Indeterminado;2333007.63;98301.39;0;4424;561331342.9;554940922.77;1,98183E+14;0.000171;0.003767;-0.000369;0.004136
00.332.266/0001-31;01/04/2022;1;16/05/2022;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;24/11/1994;INVESTIDORES EM GERAL;BRFVPQCTF015;2800149;N;N;Renda;Shoppings;Passiva;Indeterminado;1997104.55;98364.65;0;4386;566565665.81;555304531.49;1,98312E+14;0.000171;0.004187;0.000655;0.003532
00.332.266/0001-31;01/05/2022;1;15/06/2022;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;24/11/1994;INVESTIDORES EM GERAL;BRFVPQCTF015;2800149;N;N;Renda;Shoppings;Passiva;Indeterminado;2137210;98326.46;0;4304;562259241.46;555123785.59;1,98248E+14;0.000171;0.003457;-0.000325;0.003782
00.332.266/0001-31;01/06/2022;1;15/07/2022;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;24/11/1994;INVESTIDORES EM GERAL;BRFVPQCTF015;2800149;N;N;Renda;Shoppings;Passiva;Indeterminado;2137315;88403.69;0;4224;562559970.39;555534308.48;1,98395E+14;0.000171;0.004523;0.00074;0.003783
00.332.266/0001-31;01/07/2022;1;15/08/2022;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;24/11/1994;INVESTIDORES EM GERAL;BRFVPQCTF015;2800149;N;N;Renda;Shoppings;Passiva;Indeterminado;2052414.99;108540.18;0;4171;563597402.6;557034773.89;1,9893E+14;0.000189;0.00633;0.002701;0.003629
00.332.266/0001-31;01/08/2022;1;15/09/2022;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;24/11/1994;INVESTIDORES EM GERAL;BRFVPQCTF015;2800149;N;N;Renda;Shoppings;Passiva;Indeterminado;1491751.39;108507.95;0;4131;561656160.28;555549403.82;1,984E+14;0.000189;-5.3E-05;-0.002667;0.002614
00.332.266/0001-31;01/09/2022;1;14/10/2022;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;24/11/1994;INVESTIDORES EM GERAL;BRFVPQCTF015;2800149;N;N;Renda;Shoppings;Passiva;Indeterminado;2697623.4;108492.44;0;4076;562598872.43;555257143.9;1,98296E+14;0.000189;0.004262;-0.000526;0.004788
00.332.266/0001-31;01/10/2022;1;16/11/2022;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;24/11/1994;INVESTIDORES EM GERAL;BRFVPQCTF015;2800149;N;N;Renda;Shoppings;Passiva;Indeterminado;1631633.59;108510.35;0;4033;562503758.46;556259429.91;1,98654E+14;0.000189;0.004679;0.001805;0.002874
00.332.266/0001-31;01/11/2022;1;15/12/2022;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;24/11/1994;INVESTIDORES EM GERAL;BRFVPQCTF015;2800149;N;N;Renda;Shoppings;Passiva;Indeterminado;1574356.39;108496.02;0;3991;562330518.19;556120262.6;1,98604E+14;0.000189;0.002519;-0.00025;0.002769
00.332.266/0001-31;01/12/2022;1;16/01/2023;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;24/11/1994;INVESTIDORES EM GERAL;BRFVPQCTF015;2800149;N;N;Renda;Shoppings;Passiva;Indeterminado;3661257.98;108068.88;0;3930;547761960.25;538371403.16;1,92265E+14;0.000195;-0.025396;-0.031916;0.00652
00.613.094/0001-74;01/01/2022;1;02/02/2022;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;14/03/1995;INVESTIDORES EM GERAL;BRPABYCTF012;758400;N;N;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;0;0;0;430;1132559.66;-7949662.93;-1,04822E+14;0;-0.0036;-0.0036;0
00.613.094/0001-74;01/02/2022;1;04/03/2022;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;14/03/1995;INVESTIDORES EM GERAL;BRPABYCTF012;758400;N;N;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;0;0;0;431;1142740.17;-8707885.16;-1,14819E+14;0;-0.0524;-0.0524;0
00.613.094/0001-74;01/03/2022;1;05/04/2022;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;14/03/1995;INVESTIDORES EM GERAL;BRPABYCTF012;758400;N;N;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;0;0;0;439;1153083.58;-9092234.96;-1,19887E+14;0;-0.0441;-0.0441;0
00.613.094/0001-74;01/04/2022;1;03/05/2022;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;14/03/1995;INVESTIDORES EM GERAL;BRPABYCTF012;758400;N;N;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;0;0;0;456;1160682.67;-9546407.61;-1,25876E+14;0;-0.05;-0.05;0
00.613.094/0001-74;01/05/2022;1;03/06/2022;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;14/03/1995;INVESTIDORES EM GERAL;BRPABYCTF012;758400;N;N;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;0;0;0;455;1163650.85;-9870075.03;-1,30143E+14;0;-0.0339;-0.0339;0
00.613.094/0001-74;01/06/2022;1;05/07/2022;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;14/03/1995;INVESTIDORES EM GERAL;BRPABYCTF012;758400;N;N;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;0;0;0;452;1166625.97;-10251131.4;-1,35168E+14;0;-0.0386;-0.0386;0
00.613.094/0001-74;01/07/2022;1;03/08/2022;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;14/03/1995;INVESTIDORES EM GERAL;BRPABYCTF012;758400;N;N;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;0;0;0;457;1167737.02;-10622559.8;-1,40065E+14;0;-0.0362;-0.0362;0
